,alpha,beta,gamma,tau,scf_bc,nn_scf_bc
940,17,0.42,14,0.85,0.065487961,0.1373157
941,7,0.37,32,0.97,0.966803631,0.7449065
942,18,0.28,32,0.9,0.336893224,0.35562655
943,32,0.39,32,0.71,0.232715699,0.3053755
944,19,0.36,17,0.76,0.354505512,0.317492
945,19,0.48,12,0.53,1.165619696,1.122486
946,28,0.24,9,0.76,0.409141037,0.5714611
947,24,0.41,17,0.66,0.759665565,0.77391016
948,10,0.41,21,0.63,1.27556376,1.1386417
949,11,0.29,23,0.82,0.594941208,0.43810892
950,23,0.6,27,0.67,0.045823119,0.08308222
951,14,0.39,8,0.97,0.101315862,0.085247815
952,40,0.52,29,0.8,0.705657364,0.5793931
953,35,0.24,12,0.94,0.16253222,0.11403398
954,30,0.34,28,0.76,0.187981078,0.27475747
